ሀሐ	U+1200 U+1210
ሀሔ	U+1200 U+1214
ሀሕ	U+1200 U+1215
ሀሚ	U+1200 U+121A
ሀማ	U+1200 U+121B
ሀሜ	U+1200 U+121C
ሀም	U+1200 U+121D
ሀሟ	U+1200 U+121F
ሀሥ	U+1200 U+1225
ሀረ	U+1200 U+1228
ሀሪ	U+1200 U+122A
ሀራ	U+1200 U+122B
ሀሯ	U+1200 U+122F
ሀሰ	U+1200 U+1230
ሀሲ	U+1200 U+1232
ሀሴ	U+1200 U+1234
ሀስ	U+1200 U+1235
ሀሶ	U+1200 U+1236
ሀቃ	U+1200 U+1243
ሀበ	U+1200 U+1260
ሀቢ	U+1200 U+1262
ሀቦ	U+1200 U+1266
ሀታ	U+1200 U+1273
ሀቻ	U+1200 U+127B
ሀአ	U+1200 U+12A0
ሀኢ	U+1200 U+12A2
ሀእ	U+1200 U+12A5
ሀዕ	U+1200 U+12D5
ሀያ	U+1200 U+12EB
ሀይ	U+1200 U+12ED
ሀደ	U+1200 U+12F0
ሀዱ	U+1200 U+12F1
ሀዲ	U+1200 U+12F2
ሀዳ	U+1200 U+12F3
ሀድ	U+1200 U+12F5
ሀዶ	U+1200 U+12F6
ሀጂ	U+1200 U+1302
ሀጅ	U+1200 U+1305
ሀጆ	U+1200 U+1306
ሀጋ	U+1200 U+130B
ሀጠ	U+1200 U+1320
ሀጥ	U+1200 U+1325
ሀጨ	U+1200 U+1328
ሀጵ	U+1200 U+1335
ሀጻ	U+1200 U+133B
ሀፈ	U+1200 U+1348
ሀፊ	U+1200 U+134A
ሁቃ	U+1201 U+1243
ሁታ	U+1201 U+1273
ሁን	U+1201 U+1295
ሁኘ	U+1201 U+1298
ሁኙ	U+1201 U+1299
ሁኝ	U+1201 U+129D
ሁአ	U+1201 U+12A0
ሁኢ	U+1201 U+12A2
ሁእ	U+1201 U+12A5
ሁከ	U+1201 U+12A8
ሁካ	U+1201 U+12AB
ሁኬ	U+1201 U+12AC
ሁክ	U+1201 U+12AD
ሁኮ	U+1201 U+12AE
ሁጂ	U+1201 U+1302
ሁገ	U+1201 U+1308
ሁጉ	U+1201 U+1309
ሁጊ	U+1201 U+130A
ሁጵ	U+1201 U+1335
ሁጻ	U+1201 U+133B
ሁ፡	U+1201 U+1361
ሁ፣	U+1201 U+1363
ህሐ	U+1205 U+1210
ህሔ	U+1205 U+1214
ህሕ	U+1205 U+1215
ህሚ	U+1205 U+121A
ህማ	U+1205 U+121B
ህሜ	U+1205 U+121C
ህም	U+1205 U+121D
ህሟ	U+1205 U+121F
ህሥ	U+1205 U+1225
ህረ	U+1205 U+1228
ህሪ	U+1205 U+122A
ህራ	U+1205 U+122B
ህሯ	U+1205 U+122F
ህሰ	U+1205 U+1230
ህሲ	U+1205 U+1232
ህሴ	U+1205 U+1234
ህስ	U+1205 U+1235
ህሶ	U+1205 U+1236
ህቃ	U+1205 U+1243
ህበ	U+1205 U+1260
ህቢ	U+1205 U+1262
ህቦ	U+1205 U+1266
ህታ	U+1205 U+1273
ህቻ	U+1205 U+127B
ህአ	U+1205 U+12A0
ህኢ	U+1205 U+12A2
ህእ	U+1205 U+12A5
ህዕ	U+1205 U+12D5
ህያ	U+1205 U+12EB
ህይ	U+1205 U+12ED
ህደ	U+1205 U+12F0
ህዱ	U+1205 U+12F1
ህዲ	U+1205 U+12F2
ህዳ	U+1205 U+12F3
ህድ	U+1205 U+12F5
ህዶ	U+1205 U+12F6
ህጂ	U+1205 U+1302
ህጅ	U+1205 U+1305
ህጆ	U+1205 U+1306
ህጋ	U+1205 U+130B
ህጠ	U+1205 U+1320
ህጥ	U+1205 U+1325
ህጨ	U+1205 U+1328
ህጵ	U+1205 U+1335
ህጻ	U+1205 U+133B
ህፈ	U+1205 U+1348
ህፊ	U+1205 U+134A
ሆለ	U+1206 U+1208
ሆሉ	U+1206 U+1209
ሆሊ	U+1206 U+120A
ሆላ	U+1206 U+120B
ሆሌ	U+1206 U+120C
ሆል	U+1206 U+120D
ሆሎ	U+1206 U+120E
ሆሐ	U+1206 U+1210
ሆሔ	U+1206 U+1214
ሆሕ	U+1206 U+1215
ሆመ	U+1206 U+1218
ሆሙ	U+1206 U+1219
ሆሥ	U+1206 U+1225
ሆረ	U+1206 U+1228
ሆሩ	U+1206 U+1229
ሆሪ	U+1206 U+122A
ሆራ	U+1206 U+122B
ሆር	U+1206 U+122D
ሆሮ	U+1206 U+122E
ሆሯ	U+1206 U+122F
ሆሰ	U+1206 U+1230
ሆሲ	U+1206 U+1232
ሆሳ	U+1206 U+1233
ሆሴ	U+1206 U+1234
ሆስ	U+1206 U+1235
ሆሶ	U+1206 U+1236
ሆሸ	U+1206 U+1238
ሆሻ	U+1206 U+123B
ሆሽ	U+1206 U+123D
ሆቀ	U+1206 U+1240
ሆቁ	U+1206 U+1241
ሆቃ	U+1206 U+1243
ሆቅ	U+1206 U+1245
ሆቆ	U+1206 U+1246
ሆበ	U+1206 U+1260
ሆቢ	U+1206 U+1262
ሆብ	U+1206 U+1265
ሆቦ	U+1206 U+1266
ሆተ	U+1206 U+1270
ሆቱ	U+1206 U+1271
ሆታ	U+1206 U+1273
ሆቴ	U+1206 U+1274
ሆት	U+1206 U+1275
ሆቶ	U+1206 U+1276
ሆቸ	U+1206 U+1278
ሆቻ	U+1206 U+127B
ሆች	U+1206 U+127D
ሆኃ	U+1206 U+1283
ሆን	U+1206 U+1295
ሆኘ	U+1206 U+1298
ሆኙ	U+1206 U+1299
ሆአ	U+1206 U+12A0
ሆኢ	U+1206 U+12A2
ሆእ	U+1206 U+12A5
ሆወ	U+1206 U+12C8
ሆው	U+1206 U+12CD
ሆዐ	U+1206 U+12D0
ሆዕ	U+1206 U+12D5
ሆያ	U+1206 U+12EB
ሆይ	U+1206 U+12ED
ሆደ	U+1206 U+12F0
ሆዱ	U+1206 U+12F1
ሆዲ	U+1206 U+12F2
ሆዳ	U+1206 U+12F3
ሆድ	U+1206 U+12F5
ሆዶ	U+1206 U+12F6
ሆጆ	U+1206 U+1306
ሆገ	U+1206 U+1308
ሆጉ	U+1206 U+1309
ሆጊ	U+1206 U+130A
ሆጋ	U+1206 U+130B
ሆጠ	U+1206 U+1320
ሆጣ	U+1206 U+1323
ሆጥ	U+1206 U+1325
ሆጨ	U+1206 U+1328
ሆጭ	U+1206 U+132D
ሆጮ	U+1206 U+132E
ሆጵ	U+1206 U+1335
ሆጻ	U+1206 U+133B
ሆፈ	U+1206 U+1348
ሆፉ	U+1206 U+1349
ሆፊ	U+1206 U+134A
ሆ።	U+1206 U+1362
ሆ፦	U+1206 U+1366
ለሀ	U+1208 U+1200
ለሁ	U+1208 U+1201
ለህ	U+1208 U+1205
ለሆ	U+1208 U+1206
ለላ	U+1208 U+120B
ለመ	U+1208 U+1218
ለሙ	U+1208 U+1219
ለሚ	U+1208 U+121A
ለማ	U+1208 U+121B
ለሜ	U+1208 U+121C
ለም	U+1208 U+121D
ለሞ	U+1208 U+121E
ለሟ	U+1208 U+121F
ለሠ	U+1208 U+1220
ለሡ	U+1208 U+1221
ለሩ	U+1208 U+1229
ለር	U+1208 U+122D
ለሮ	U+1208 U+122E
ለሳ	U+1208 U+1233
ለስ	U+1208 U+1235
ለሸ	U+1208 U+1238
ለሻ	U+1208 U+123B
ለሽ	U+1208 U+123D
ለቀ	U+1208 U+1240
ለቁ	U+1208 U+1241
ለቅ	U+1208 U+1245
ለቆ	U+1208 U+1246
ለቋ	U+1208 U+124B
ለባ	U+1208 U+1263
ለብ	U+1208 U+1265
ለተ	U+1208 U+1270
ለቱ	U+1208 U+1271
ለቴ	U+1208 U+1274
ለት	U+1208 U+1275
ለቶ	U+1208 U+1276
ለቸ	U+1208 U+1278
ለች	U+1208 U+127D
ለኅ	U+1208 U+1285
ለነ	U+1208 U+1290
ለኑ	U+1208 U+1291
ለና	U+1208 U+1293
ለን	U+1208 U+1295
ለኖ	U+1208 U+1296
ለኘ	U+1208 U+1298
ለኙ	U+1208 U+1299
ለኝ	U+1208 U+129D
ለከ	U+1208 U+12A8
ለካ	U+1208 U+12AB
ለኬ	U+1208 U+12AC
ለክ	U+1208 U+12AD
ለኮ	U+1208 U+12AE
ለወ	U+1208 U+12C8
ለዊ	U+1208 U+12CA
ለዋ	U+1208 U+12CB
ለው	U+1208 U+12CD
ለዓ	U+1208 U+12D3
ለየ	U+1208 U+12E8
ለዮ	U+1208 U+12EE
ለዱ	U+1208 U+12F1
ለዲ	U+1208 U+12F2
ለዳ	U+1208 U+12F3
ለጂ	U+1208 U+1302
ለጅ	U+1208 U+1305
ለገ	U+1208 U+1308
ለጉ	U+1208 U+1309
ለጊ	U+1208 U+130A
ለግ	U+1208 U+130D
ለጎ	U+1208 U+130E
ለጣ	U+1208 U+1323
ለጥ	U+1208 U+1325
ለጭ	U+1208 U+132D
ለጻ	U+1208 U+133B
ለፉ	U+1208 U+1349
ለፍ	U+1208 U+134D
ለ፡	U+1208 U+1361
ለ።	U+1208 U+1362
ለ፣	U+1208 U+1363
ለ፦	U+1208 U+1366
ሉሐ	U+1209 U+1210
ሉሔ	U+1209 U+1214
ሉሥ	U+1209 U+1225
ሉቃ	U+1209 U+1243
ሉነ	U+1209 U+1290
ሉኑ	U+1209 U+1291
ሉን	U+1209 U+1295
ሉኘ	U+1209 U+1298
ሉኙ	U+1209 U+1299
ሉአ	U+1209 U+12A0
ሉኢ	U+1209 U+12A2
ሉእ	U+1209 U+12A5
ሉከ	U+1209 U+12A8
ሉካ	U+1209 U+12AB
ሉኬ	U+1209 U+12AC
ሉክ	U+1209 U+12AD
ሉኮ	U+1209 U+12AE
ሉጂ	U+1209 U+1302
ሉገ	U+1209 U+1308
ሉጉ	U+1209 U+1309
ሉጊ	U+1209 U+130A
ሉጭ	U+1209 U+132D
ሉጵ	U+1209 U+1335
ሉጻ	U+1209 U+133B
ሉ፡	U+1209 U+1361
ሉ፣	U+1209 U+1363
ሊሀ	U+120A U+1200
ሊሁ	U+120A U+1201
ሊሆ	U+120A U+1206
ሊላ	U+120A U+120B
ሊመ	U+120A U+1218
ሊሙ	U+120A U+1219
ሊሚ	U+120A U+121A
ሊማ	U+120A U+121B
ሊሜ	U+120A U+121C
ሊሞ	U+120A U+121E
ሊሟ	U+120A U+121F
ሊሠ	U+120A U+1220
ሊሡ	U+120A U+1221
ሊሩ	U+120A U+1229
ሊሳ	U+120A U+1233
ሊሻ	U+120A U+123B
ሊሽ	U+120A U+123D
ሊቀ	U+120A U+1240
ሊቁ	U+120A U+1241
ሊቅ	U+120A U+1245
ሊቆ	U+120A U+1246
ሊባ	U+120A U+1263
ሊብ	U+120A U+1265
ሊተ	U+120A U+1270
ሊቱ	U+120A U+1271
ሊቴ	U+120A U+1274
ሊት	U+120A U+1275
ሊቶ	U+120A U+1276
ሊቸ	U+120A U+1278
ሊች	U+120A U+127D
ሊኅ	U+120A U+1285
ሊነ	U+120A U+1290
ሊኑ	U+120A U+1291
ሊና	U+120A U+1293
ሊን	U+120A U+1295
ሊኖ	U+120A U+1296
ሊኘ	U+120A U+1298
ሊኙ	U+120A U+1299
ሊኝ	U+120A U+129D
ሊከ	U+120A U+12A8
ሊካ	U+120A U+12AB
ሊኬ	U+120A U+12AC
ሊክ	U+120A U+12AD
ሊኮ	U+120A U+12AE
ሊዊ	U+120A U+12CA
ሊዋ	U+120A U+12CB
ሊዓ	U+120A U+12D3
ሊየ	U+120A U+12E8
ሊዮ	U+120A U+12EE
ሊዱ	U+120A U+12F1
ሊዲ	U+120A U+12F2
ሊዳ	U+120A U+12F3
ሊገ	U+120A U+1308
ሊጉ	U+120A U+1309
ሊጊ	U+120A U+130A
ሊግ	U+120A U+130D
ሊጎ	U+120A U+130E
ሊጣ	U+120A U+1323
ሊጥ	U+120A U+1325
ሊጭ	U+120A U+132D
ሊጵ	U+120A U+1335
ሊጻ	U+120A U+133B
ሊፉ	U+120A U+1349
ሊ፡	U+120A U+1361
ሊ፣	U+120A U+1363
ሊ፦	U+120A U+1366
ላሀ	U+120B U+1200
ላሁ	U+120B U+1201
ላህ	U+120B U+1205
ላሆ	U+120B U+1206
ላላ	U+120B U+120B
ላመ	U+120B U+1218
ላሙ	U+120B U+1219
ላሚ	U+120B U+121A
ላማ	U+120B U+121B
ላሜ	U+120B U+121C
ላም	U+120B U+121D
ላሞ	U+120B U+121E
ላሟ	U+120B U+121F
ላሠ	U+120B U+1220
ላሡ	U+120B U+1221
ላሩ	U+120B U+1229
ላር	U+120B U+122D
ላሮ	U+120B U+122E
ላሳ	U+120B U+1233
ላስ	U+120B U+1235
ላሸ	U+120B U+1238
ላሻ	U+120B U+123B
ላሽ	U+120B U+123D
ላቀ	U+120B U+1240
ላቁ	U+120B U+1241
ላቅ	U+120B U+1245
ላቆ	U+120B U+1246
ላቋ	U+120B U+124B
ላባ	U+120B U+1263
ላብ	U+120B U+1265
ላተ	U+120B U+1270
ላቱ	U+120B U+1271
ላቴ	U+120B U+1274
ላት	U+120B U+1275
ላቶ	U+120B U+1276
ላቸ	U+120B U+1278
ላች	U+120B U+127D
ላኅ	U+120B U+1285
ላነ	U+120B U+1290
ላኑ	U+120B U+1291
ላና	U+120B U+1293
ላን	U+120B U+1295
ላኖ	U+120B U+1296
ላኘ	U+120B U+1298
ላኙ	U+120B U+1299
ላኝ	U+120B U+129D
ላከ	U+120B U+12A8
ላካ	U+120B U+12AB
ላኬ	U+120B U+12AC
ላክ	U+120B U+12AD
ላኮ	U+120B U+12AE
ላወ	U+120B U+12C8
ላዊ	U+120B U+12CA
ላዋ	U+120B U+12CB
ላው	U+120B U+12CD
ላዓ	U+120B U+12D3
ላየ	U+120B U+12E8
ላዮ	U+120B U+12EE
ላዱ	U+120B U+12F1
ላዲ	U+120B U+12F2
ላዳ	U+120B U+12F3
ላጂ	U+120B U+1302
ላጅ	U+120B U+1305
ላገ	U+120B U+1308
ላጉ	U+120B U+1309
ላጊ	U+120B U+130A
ላግ	U+120B U+130D
ላጎ	U+120B U+130E
ላጣ	U+120B U+1323
ላጥ	U+120B U+1325
ላጭ	U+120B U+132D
ላጻ	U+120B U+133B
ላፉ	U+120B U+1349
ላፍ	U+120B U+134D
ላ፡	U+120B U+1361
ላ።	U+120B U+1362
ላ፣	U+120B U+1363
ላ፦	U+120B U+1366
ሌላ	U+120C U+120B
ሌሐ	U+120C U+1210
ሌሔ	U+120C U+1214
ሌሚ	U+120C U+121A
ሌማ	U+120C U+121B
ሌሜ	U+120C U+121C
ሌሞ	U+120C U+121E
ሌሟ	U+120C U+121F
ሌሩ	U+120C U+1229
ሌቀ	U+120C U+1240
ሌቁ	U+120C U+1241
ሌቅ	U+120C U+1245
ሌብ	U+120C U+1265
ሌተ	U+120C U+1270
ሌቱ	U+120C U+1271
ሌቴ	U+120C U+1274
ሌት	U+120C U+1275
ሌቶ	U+120C U+1276
ሌቸ	U+120C U+1278
ሌች	U+120C U+127D
ሌኅ	U+120C U+1285
ሌነ	U+120C U+1290
ሌኑ	U+120C U+1291
ሌና	U+120C U+1293
ሌን	U+120C U+1295
ሌኖ	U+120C U+1296
ሌኘ	U+120C U+1298
ሌኙ	U+120C U+1299
ሌኝ	U+120C U+129D
ሌከ	U+120C U+12A8
ሌካ	U+120C U+12AB
ሌኬ	U+120C U+12AC
ሌክ	U+120C U+12AD
ሌኮ	U+120C U+12AE
ሌዊ	U+120C U+12CA
ሌዋ	U+120C U+12CB
ሌዓ	U+120C U+12D3
ሌየ	U+120C U+12E8
ሌዮ	U+120C U+12EE
ሌገ	U+120C U+1308
ሌጉ	U+120C U+1309
ሌጊ	U+120C U+130A
ሌግ	U+120C U+130D
ሌጎ	U+120C U+130E
ሌጠ	U+120C U+1320
ሌጣ	U+120C U+1323
ሌጥ	U+120C U+1325
ሌጨ	U+120C U+1328
ሌጭ	U+120C U+132D
ሌፉ	U+120C U+1349
ሌ፡	U+120C U+1361
ሌ፣	U+120C U+1363
ልሀ	U+120D U+1200
ልሁ	U+120D U+1201
ልህ	U+120D U+1205
ልሆ	U+120D U+1206
ልላ	U+120D U+120B
ልመ	U+120D U+1218
ልሙ	U+120D U+1219
ልሚ	U+120D U+121A
ልማ	U+120D U+121B
ልሜ	U+120D U+121C
ልም	U+120D U+121D
ልሞ	U+120D U+121E
ልሟ	U+120D U+121F
ልሠ	U+120D U+1220
ልሡ	U+120D U+1221
ልሩ	U+120D U+1229
ልር	U+120D U+122D
ልሮ	U+120D U+122E
ልሳ	U+120D U+1233
ልስ	U+120D U+1235
ልሸ	U+120D U+1238
ልሻ	U+120D U+123B
ልሽ	U+120D U+123D
ልቀ	U+120D U+1240
ልቁ	U+120D U+1241
ልቅ	U+120D U+1245
ልቆ	U+120D U+1246
ልቋ	U+120D U+124B
ልባ	U+120D U+1263
ልብ	U+120D U+1265
ልተ	U+120D U+1270
ልቱ	U+120D U+1271
ልቴ	U+120D U+1274
ልት	U+120D U+1275
ልቶ	U+120D U+1276
ልቸ	U+120D U+1278
ልች	U+120D U+127D
ልኅ	U+120D U+1285
ልነ	U+120D U+1290
ልኑ	U+120D U+1291
ልና	U+120D U+1293
ልን	U+120D U+1295
ልኖ	U+120D U+1296
ልኘ	U+120D U+1298
ልኙ	U+120D U+1299
ልኝ	U+120D U+129D
ልከ	U+120D U+12A8
ልካ	U+120D U+12AB
ልኬ	U+120D U+12AC
ልክ	U+120D U+12AD
ልኮ	U+120D U+12AE
ልወ	U+120D U+12C8
ልዊ	U+120D U+12CA
ልዋ	U+120D U+12CB
ልው	U+120D U+12CD
ልዓ	U+120D U+12D3
ልየ	U+120D U+12E8
ልዮ	U+120D U+12EE
ልዱ	U+120D U+12F1
ልዲ	U+120D U+12F2
ልዳ	U+120D U+12F3
ልጂ	U+120D U+1302
ልጅ	U+120D U+1305
ልገ	U+120D U+1308
ልጉ	U+120D U+1309
ልጊ	U+120D U+130A
ልግ	U+120D U+130D
ልጎ	U+120D U+130E
ልጣ	U+120D U+1323
ልጥ	U+120D U+1325
ልጭ	U+120D U+132D
ልጻ	U+120D U+133B
ልፉ	U+120D U+1349
ልፍ	U+120D U+134D
ል፡	U+120D U+1361
ል።	U+120D U+1362
ል፣	U+120D U+1363
ል፦	U+120D U+1366
ሎሐ	U+120E U+1210
ሎሔ	U+120E U+1214
ሎሕ	U+120E U+1215
ሎሞ	U+120E U+121E
ሎሥ	U+120E U+1225
ሎረ	U+120E U+1228
ሎሩ	U+120E U+1229
ሎሪ	U+120E U+122A
ሎራ	U+120E U+122B
ሎሯ	U+120E U+122F
ሎሸ	U+120E U+1238
ሎሻ	U+120E U+123B
ሎሽ	U+120E U+123D
ሎቃ	U+120E U+1243
ሎቋ	U+120E U+124B
ሎታ	U+120E U+1273
ሎት	U+120E U+1275
ሎነ	U+120E U+1290
ሎኑ	U+120E U+1291
ሎኘ	U+120E U+1298
ሎኙ	U+120E U+1299
ሎአ	U+120E U+12A0
ሎኢ	U+120E U+12A2
ሎእ	U+120E U+12A5
ሎዕ	U+120E U+12D5
ሎያ	U+120E U+12EB
ሎይ	U+120E U+12ED
ሎደ	U+120E U+12F0
ሎድ	U+120E U+12F5
ሎዶ	U+120E U+12F6
ሎጂ	U+120E U+1302
ሎጅ	U+120E U+1305
ሎጆ	U+120E U+1306
ሎጋ	U+120E U+130B
ሎጠ	U+120E U+1320
ሎጨ	U+120E U+1328
ሎጭ	U+120E U+132D
ሎጵ	U+120E U+1335
ሎጻ	U+120E U+133B
ሎፈ	U+120E U+1348
ሎፊ	U+120E U+134A
ሐህ	U+1210 U+1205
ሐላ	U+1210 U+120B
ሐመ	U+1210 U+1218
ሐሙ	U+1210 U+1219
ሐሚ	U+1210 U+121A
ሐማ	U+1210 U+121B
ሐሜ	U+1210 U+121C
ሐም	U+1210 U+121D
ሐሞ	U+1210 U+121E
ሐሟ	U+1210 U+121F
ሐሥ	U+1210 U+1225
ሐሩ	U+1210 U+1229
ሐሳ	U+1210 U+1233
ሐሸ	U+1210 U+1238
ሐሻ	U+1210 U+123B
ሐሽ	U+1210 U+123D
ሐቀ	U+1210 U+1240
ሐቁ	U+1210 U+1241
ሐቅ	U+1210 U+1245
ሐባ	U+1210 U+1263
ሐብ	U+1210 U+1265
